cmte_id,cand_id,cand_nm,contbr_city,contbr_st,contbr_zip,contb_receipt_amt,contb_receipt_dt,latlong
C00577130,P60007168,"Sanders, Bernard",FARMINGTON,NH,038353921,5,25-AUG-15,"(43.3526526, -71.0735476)"
C00577130,P60007168,"Sanders, Bernard",FARMINGTON,NH,038353921,22.54,25-AUG-15,"(43.3526526, -71.0735476)"
C00577130,P60007168,"Sanders, Bernard",CENTER CONWAY,NH,038130579,135.95,25-AUG-15,"(44.137978, -71.0554062)"
C00577130,P60007168,"Sanders, Bernard",DOVER,NH,03820,50,31-AUG-15,"(43.1819713, -70.89523369999999)"
C00458844,P60006723,"Rubio, Marco",GILFORD,NH,032496764,250,21-APR-15,"(43.5566893, -71.3973105)"
C00458844,P60006723,"Rubio, Marco",GILFORD,NH,032496764,100,30-APR-15,"(43.5566893, -71.3973105)"
C00458844,P60006723,"Rubio, Marco",GILFORD,NH,032496764,100,09-JUN-15,"(43.5566893, -71.3973105)"
C00458844,P60006723,"Rubio, Marco",CONCORD,NH,033016915,250,16-APR-15,"(43.2086343, -71.5486562)"
C00458844,P60006723,"Rubio, Marco",CONCORD,NH,033016915,100,26-JUN-15,"(43.2086343, -71.5486562)"
C00458844,P60006723,"Rubio, Marco",HAMPTON FALLS,NH,038442106,100,13-APR-15,"(42.9195921, -70.89523369999999)"
C00458844,P60006723,"Rubio, Marco",HAMPTON FALLS,NH,038442106,100,13-APR-15,"(42.9195921, -70.89523369999999)"
C00458844,P60006723,"Rubio, Marco",HAMPTON FALLS,NH,038442106,100,13-APR-15,"(42.9195921, -70.89523369999999)"
C00458844,P60006723,"Rubio, Marco",HAMPTON FALLS,NH,038442106,100,13-APR-15,"(42.9195921, -70.89523369999999)"
C00577130,P60007168,"Sanders, Bernard",CHOCORUA,NH,03817,35,11-AUG-15,"(43.87066170000001, -71.2313727)"
C00577130,P60007168,"Sanders, Bernard",BEDFORD,NH,031105343,100,13-AUG-15,"(42.9457529, -71.5486562)"
C00577130,P60007168,"Sanders, Bernard",DERRY,NH,030387259,10,27-AUG-15,"(42.8976471, -71.2715443)"
C00458844,P60006723,"Rubio, Marco",HANOVER,NH,037553905,2700,29-JUN-15,"(43.7260338, -72.14291720000001)"
C00458844,P60006723,"Rubio, Marco",WOLFEBORO,NH,038940029,50,14-APR-15,"(43.5914415, -71.1611147)"
C00577130,P60007168,"Sanders, Bernard",STRATHAM,NH,038852401,62.54,25-AUG-15,"(43.0134532, -70.89523369999999)"
C00458844,P60006723,"Rubio, Marco",PORTSMOUTH,NH,038018200,1000,18-JUN-15,"(43.0874906, -70.83577919999999)"
C00458844,P60006723,"Rubio, Marco",LYME,NH,037683809,1000,18-MAY-15,"(43.82501329999999, -72.1184744)"
C00574624,P60006111,"Cruz, Rafael Edward 'Ted'",CENTER SANDWICH,NH,032273228,100,16-JUL-15,"(43.8323149, -71.4778132)"
C00577130,P60007168,"Sanders, Bernard",AUBURN,NH,030323727,159.41,30-AUG-15,"(42.98921000000001, -71.35868549999999)"
C00577130,P60007168,"Sanders, Bernard",BEDFORD,NH,031104224,35,06-AUG-15,"(42.9457529, -71.5486562)"
C00577130,P60007168,"Sanders, Bernard",DOVER,NH,038203108,100,13-AUG-15,"(43.1819713, -70.89523369999999)"
C00577130,P60007168,"Sanders, Bernard",CONCORD,NH,033034000,50,21-AUG-15,"(43.3071121, -71.69106599999999)"
C00577130,P60007168,"Sanders, Bernard",MILFORD,NH,030554156,10,16-AUG-15,"(42.8185188, -71.69106599999999)"
C00577130,P60007168,"Sanders, Bernard",HAMPSTEAD,NH,038412331,33.74,26-AUG-15,"(42.8744289, -71.1804988)"
C00577130,P60007168,"Sanders, Bernard",MANCHESTER,NH,031041863,71.25,26-AUG-15,"(43.00885590000001, -71.4477469)"
C00577130,P60007168,"Sanders, Bernard",SANBORNTON,NH,032692227,50,31-AUG-15,"(43.5134592, -71.5849532)"
C00577130,P60007168,"Sanders, Bernard",WILMOT,NH,032870104,50,27-AUG-15,"(43.4468519, -71.9164217)"
C00574624,P60006111,"Cruz, Rafael Edward 'Ted'",MANCHESTER,NH,031041661,1000,04-AUG-15,"(43.00885590000001, -71.4477469)"
C00577130,P60007168,"Sanders, Bernard",CANTERBURY,NH,032242304,100,02-AUG-15,"(43.35824420000001, -71.5486562)"
C00574624,P60006111,"Cruz, Rafael Edward 'Ted'",CONCORD,NH,033015112,50,30-JUL-15,"(43.2086343, -71.5486562)"
C00574624,P60006111,"Cruz, Rafael Edward 'Ted'",HUDSON,NH,030516406,50,16-AUG-15,"(42.7617804, -71.4310012)"
C00577130,P60007168,"Sanders, Bernard",PORTSMOUTH,NH,038013825,1000,21-AUG-15,"(43.0874906, -70.83577919999999)"
C00574624,P60006111,"Cruz, Rafael Edward 'Ted'",DURHAM,NH,038242730,35,12-AUG-15,"(43.13396789999999, -70.9264635)"
C00574624,P60006111,"Cruz, Rafael Edward 'Ted'",GILFORD,NH,032496439,10,20-JUL-15,"(43.5566893, -71.3973105)"
C00574624,P60006111,"Cruz, Rafael Edward 'Ted'",GILFORD,NH,032496439,10,20-JUL-15,"(43.5566893, -71.3973105)"
C00577130,P60007168,"Sanders, Bernard",PORTSMOUTH,NH,038014746,12.54,30-AUG-15,"(43.0874906, -70.83577919999999)"
C00577130,P60007168,"Sanders, Bernard",DOVER,NH,038204179,4,21-JUL-15,"(43.1819713, -70.89523369999999)"
C00577130,P60007168,"Sanders, Bernard",PORTSMOUTH,NH,038014406,250,21-JUL-15,"(43.0874906, -70.83577919999999)"
C00577130,P60007168,"Sanders, Bernard",EXETER,NH,038334373,250,06-AUG-15,"(42.9996568, -70.9784562)"
C00577130,P60007168,"Sanders, Bernard",KENSINGTON,NH,038335603,1000,02-AUG-15,"(42.9996568, -70.9784562)"
C00577130,P60007168,"Sanders, Bernard",MANCHESTER,NH,031024428,100,17-AUG-15,"(43.0073961, -71.49523719999999)"
C00577130,P60007168,"Sanders, Bernard",ROLLINSFORD,NH,038695621,100,18-AUG-15,"(43.2240887, -70.841725)"
C00574624,P60006111,"Cruz, Rafael Edward 'Ted'",MANCHESTER,NH,030422345,100,30-JUL-15,"(43.0461391, -71.0854325)"
C00577130,P60007168,"Sanders, Bernard",NORTH HAMPTON,NH,038622021,100,06-AUG-15,"(42.98234410000001, -70.8238874)"
C00574624,P60006111,"Cruz, Rafael Edward 'Ted'",LEBANON,NH,037662003,250,16-AUG-15,"(43.6217757, -72.24923509999999)"
C00574624,P60006111,"Cruz, Rafael Edward 'Ted'",SOUTH HAMPTON,NH,038273511,50,07-AUG-15,"(42.8983828, -70.99034379999999)"
C00577130,P60007168,"Sanders, Bernard",CHESTER,NH,030364001,50,26-AUG-15,"(42.9731785, -71.263663)"
C00577130,P60007168,"Sanders, Bernard",HANOVER,NH,037552232,75.95,12-AUG-15,"(43.7260338, -72.14291720000001)"
C00577130,P60007168,"Sanders, Bernard",BOW,NH,033044112,100,31-AUG-15,"(43.13366329999999, -71.5486562)"
C00577130,P60007168,"Sanders, Bernard",HANOVER,NH,037551910,100,30-JUL-15,"(43.7260338, -72.14291720000001)"
C00577130,P60007168,"Sanders, Bernard",MERRIMACK,NH,030543230,100,21-AUG-15,"(42.855038, -71.51304449999999)"
C00577130,P60007168,"Sanders, Bernard",HANOVER,NH,037551301,100,08-AUG-15,"(43.7260338, -72.14291720000001)"
C00577130,P60007168,"Sanders, Bernard",KENSINGTON,NH,038335603,100,27-AUG-15,"(42.9996568, -70.9784562)"
C00574624,P60006111,"Cruz, Rafael Edward 'Ted'",LONDONDERRY,NH,030532649,26,16-JUL-15,"(42.8680259, -71.37569119999999)"
C00577130,P60007168,"Sanders, Bernard",MANCHESTER,NH,031044938,42.74,26-AUG-15,"(43.00885590000001, -71.4477469)"
C00577130,P60007168,"Sanders, Bernard",HENNIKER,NH,032423311,50,21-AUG-15,"(43.1806781, -71.8334145)"
C00577130,P60007168,"Sanders, Bernard",CLAREMONT,NH,037433321,50,30-AUG-15,"(43.369662, -72.3074326)"
C00577130,P60007168,"Sanders, Bernard",PORTSMOUTH,NH,038017504,250,13-AUG-15,"(43.0874906, -70.83577919999999)"
C00577130,P60007168,"Sanders, Bernard",PORTSMOUTH,NH,038017504,7.54,13-AUG-15,"(43.0874906, -70.83577919999999)"
C00577130,P60007168,"Sanders, Bernard",GRANTHAM,NH,037530976,100,23-AUG-15,"(43.5187336, -72.12976530000002)"
C00577130,P60007168,"Sanders, Bernard",LANGDON,NH,036028302,100,17-AUG-15,"(43.1069016, -72.3074326)"
C00574624,P60006111,"Cruz, Rafael Edward 'Ted'",ATKINSON,NH,038112260,35,27-JUL-15,"(42.8327225, -71.15673439999999)"
C00574624,P60006111,"Cruz, Rafael Edward 'Ted'",EAST KINGSTON,NH,038272025,50,07-AUG-15,"(42.8983828, -70.99034379999999)"
C00574624,P60006111,"Cruz, Rafael Edward 'Ted'",FITZWILLIAM,NH,034473011,25,11-AUG-15,"(42.7443715, -72.16530759999999)"
C00577130,P60007168,"Sanders, Bernard",ANDOVER,NH,032164003,10,25-AUG-15,"(43.4461125, -71.7978333)"
C00577130,P60007168,"Sanders, Bernard",HAMPTON,NH,038430157,50,18-AUG-15,"(42.9356464, -70.83867169999999)"
C00577130,P60007168,"Sanders, Bernard",BETHLEHEM,NH,035740563,100,06-AUG-15,"(44.2782061, -71.6622795)"
C00577130,P60007168,"Sanders, Bernard",MANCHESTER,NH,031036684,10,21-AUG-15,"(42.9561485, -71.4418101)"
C00574624,P60006111,"Cruz, Rafael Edward 'Ted'",AMHERST,NH,030312328,300,03-AUG-15,"(42.8708242, -71.6080009)"
C00574624,P60006111,"Cruz, Rafael Edward 'Ted'",NASHUA,NH,030637602,55,04-AUG-15,"(42.7795584, -71.51304449999999)"
C00574624,P60006111,"Cruz, Rafael Edward 'Ted'",NASHUA,NH,030642512,150,04-AUG-15,"(42.7773453, -71.4714928)"
C00574624,P60006111,"Cruz, Rafael Edward 'Ted'",LITTLETON,NH,035614800,50,04-AUG-15,"(44.33641069999999, -71.7850294)"
C00574624,P60006111,"Cruz, Rafael Edward 'Ted'",MANCHESTER,NH,031022618,100,22-JUL-15,"(43.0073961, -71.49523719999999)"
C00574624,P60006111,"Cruz, Rafael Edward 'Ted'",NOTTINGHAM,NH,032904946,25,24-JUL-15,"(43.1365634, -71.121085)"
C00577130,P60007168,"Sanders, Bernard",SALEM,NH,030793371,20,30-AUG-15,"(42.7768318, -71.2161428)"
C00574624,P60006111,"Cruz, Rafael Edward 'Ted'",SEABROOK,NH,038744735,50,23-JUL-15,"(42.8889035, -70.85361639999999)"
C00574624,P60006111,"Cruz, Rafael Edward 'Ted'",SPOFFORD,NH,034620197,100,24-JUL-15,"(42.895617, -72.4021423)"
C00458844,P60006723,"Rubio, Marco",LYME CENTER,NH,037690107,100,22-MAY-15,"(43.8001071, -72.1164627)"
C00458844,P60006723,"Rubio, Marco",LYME CENTER,NH,037690107,100,22-JUN-15,"(43.8001071, -72.1164627)"
C00458844,P60006723,"Rubio, Marco",WINDHAM,NH,030874435,500,14-APR-15,"(42.792901, -71.3111773)"
C00458844,P60006723,"Rubio, Marco",BEDFORD,NH,031105525,1000,14-APR-15,"(42.9457529, -71.5486562)"
C00458844,P60006723,"Rubio, Marco",STRATHAM,NH,038852206,250,13-APR-15,"(43.0134532, -70.89523369999999)"
C00458844,P60006723,"Rubio, Marco",CONCORD,NH,033013027,250,14-APR-15,"(43.2086343, -71.5486562)"
C00458844,P60006723,"Rubio, Marco",CENTER HARBOR,NH,032260245,100,13-MAY-15,"(43.71269849999999, -71.49147470000001)"
C00458844,P60006723,"Rubio, Marco",CENTER HARBOR,NH,032260245,100,15-MAY-15,"(43.71269849999999, -71.49147470000001)"
C00458844,P60006723,"Rubio, Marco",WALPOLE,NH,036085041,27,16-AUG-15,"(43.0842823, -72.4021423)"
C00458844,P60006723,"Rubio, Marco",WALPOLE,NH,036085041,27,16-SEP-15,"(43.0842823, -72.4021423)"
C00458844,P60006723,"Rubio, Marco",WALPOLE,NH,036085041,50,26-SEP-15,"(43.0842823, -72.4021423)"
C00458844,P60006723,"Rubio, Marco",WALPOLE,NH,036080458,250,29-MAY-15,"(43.0842823, -72.4021423)"
C00458844,P60006723,"Rubio, Marco",BEDFORD,NH,031106056,200,22-JUN-15,"(42.9457529, -71.5486562)"
C00577130,P60007168,"Sanders, Bernard",PORTSMOUTH,NH,038015315,100,15-AUG-15,"(43.0874906, -70.83577919999999)"
C00458844,P60006723,"Rubio, Marco",NASHUA,NH,030622536,500,13-APR-15,"(42.7189172, -71.4893013)"
C00458844,P60006723,"Rubio, Marco",HANOVER,NH,037551249,200,29-APR-15,"(43.7260338, -72.14291720000001)"
C00458844,P60006723,"Rubio, Marco",HANOVER,NH,037551249,200,16-JUN-15,"(43.7260338, -72.14291720000001)"
C00458844,P60006723,"Rubio, Marco",MERRIMACK,NH,030542955,250,15-APR-15,"(42.855038, -71.51304449999999)"
C00577130,P60007168,"Sanders, Bernard",CONCORD,NH,033015940,50,30-SEP-15,"(43.2086343, -71.5486562)"
C00577130,P60007168,"Sanders, Bernard",MELVIN VILLAGE,NH,038500366,300,09-JUL-15,"(43.6860602, -71.29824390000002)"
C00577130,P60007168,"Sanders, Bernard",NASHUA,NH,030635048,100,02-SEP-15,"(42.7795584, -71.51304449999999)"
C00577130,P60007168,"Sanders, Bernard",CANTERBURY,NH,032242304,100,02-SEP-15,"(43.35824420000001, -71.5486562)"
C00577130,P60007168,"Sanders, Bernard",WARNER,NH,032784406,1000,01-AUG-15,"(43.2931046, -71.8334145)"
C00577130,P60007168,"Sanders, Bernard",TILTON,NH,032765817,50,06-AUG-15,"(43.4294845, -71.5842643)"
C00577130,P60007168,"Sanders, Bernard",LEBANON,NH,037662000,100,03-JUL-15,"(43.6217757, -72.24923509999999)"
C00577130,P60007168,"Sanders, Bernard",ROLLINSFORD,NH,038695621,100,18-JUL-15,"(43.2240887, -70.841725)"
C00577130,P60007168,"Sanders, Bernard",HANOVER,NH,037552211,50,08-JUL-15,"(43.7260338, -72.14291720000001)"
C00577130,P60007168,"Sanders, Bernard",HUDSON,NH,030513128,1000,11-JUL-15,"(42.7617804, -71.4310012)"
C00577130,P60007168,"Sanders, Bernard",DOVER,NH,038204179,5,29-SEP-15,"(43.1819713, -70.89523369999999)"
C00577130,P60007168,"Sanders, Bernard",PORTSMOUTH,NH,038014406,10,29-SEP-15,"(43.0874906, -70.83577919999999)"
C00577130,P60007168,"Sanders, Bernard",NELSON,NH,034575324,100,01-JUL-15,"(43.0012495, -72.1179169)"
C00577130,P60007168,"Sanders, Bernard",SANBORNTON,NH,03269,50,24-AUG-15,"(43.5134592, -71.5849532)"
C00577130,P60007168,"Sanders, Bernard",JACKSON,NH,038460328,100,27-AUG-15,"(44.2261454, -71.2388022)"
C00577130,P60007168,"Sanders, Bernard",HANOVER,NH,037552208,17.74,27-AUG-15,"(43.7260338, -72.14291720000001)"
C00577130,P60007168,"Sanders, Bernard",MANCHESTER,NH,031043339,100,10-JUL-15,"(43.00885590000001, -71.4477469)"
C00577130,P60007168,"Sanders, Bernard",DURHAM,NH,038244205,100,10-JUL-15,"(43.13396789999999, -70.9264635)"
C00577130,P60007168,"Sanders, Bernard",DOVER,NH,03820,50,08-JUL-15,"(43.1819713, -70.89523369999999)"
C00577130,P60007168,"Sanders, Bernard",HANOVER,NH,037552208,250,08-JUL-15,"(43.7260338, -72.14291720000001)"
C00577130,P60007168,"Sanders, Bernard",PORTSMOUTH,NH,038013825,1000,10-JUL-15,"(43.0874906, -70.83577919999999)"
C00577130,P60007168,"Sanders, Bernard",BEDFORD,NH,031105343,100,10-JUL-15,"(42.9457529, -71.5486562)"
C00577130,P60007168,"Sanders, Bernard",HANOVER,NH,037556612,200,08-AUG-15,"(43.7260338, -72.14291720000001)"
C00577130,P60007168,"Sanders, Bernard",CENTER CONWAY,NH,038130579,500,03-AUG-15,"(44.137978, -71.0554062)"
C00577130,P60007168,"Sanders, Bernard",TILTON,NH,032765817,50,01-JUL-15,"(43.4294845, -71.5842643)"
C00577130,P60007168,"Sanders, Bernard",HILLSBOROUGH,NH,032444006,10,15-JUL-15,"(43.1586356, -71.9282781)"
C00577130,P60007168,"Sanders, Bernard",MANCHESTER,NH,031028417,100,14-AUG-15,"(43.0073961, -71.49523719999999)"
C00577130,P60007168,"Sanders, Bernard",DERRY,NH,030384131,100,07-AUG-15,"(42.8976471, -71.2715443)"
C00577130,P60007168,"Sanders, Bernard",BRENTWOOD,NH,038336419,100,31-AUG-15,"(42.9996568, -70.9784562)"
C00577130,P60007168,"Sanders, Bernard",HENNIKER,NH,032424125,10,28-JUL-15,"(43.1806781, -71.8334145)"
C00577130,P60007168,"Sanders, Bernard",LEBANON,NH,037662708,10,01-SEP-15,"(43.6217757, -72.24923509999999)"
C00577130,P60007168,"Sanders, Bernard",SANBORNTON,NH,032692227,35,15-JUL-15,"(43.5134592, -71.5849532)"
C00577130,P60007168,"Sanders, Bernard",HANOVER,NH,037551301,100,02-SEP-15,"(43.7260338, -72.14291720000001)"
C00577130,P60007168,"Sanders, Bernard",CLAREMONT,NH,037435300,35,27-AUG-15,"(43.369662, -72.3074326)"
C00577130,P60007168,"Sanders, Bernard",SALEM,NH,030794103,10,15-AUG-15,"(42.7768318, -71.2161428)"
C00577130,P60007168,"Sanders, Bernard",HILLSBOROUGH,NH,032444006,50,07-AUG-15,"(43.1586356, -71.9282781)"
C00577130,P60007168,"Sanders, Bernard",HANOVER,NH,037551236,150,08-AUG-15,"(43.7260338, -72.14291720000001)"
C00577130,P60007168,"Sanders, Bernard",PLYMOUTH,NH,032641548,100,16-JUL-15,"(43.7570079, -71.6881497)"
C00577130,P60007168,"Sanders, Bernard",NORTH HAMPTON,NH,038620580,100,26-SEP-15,"(42.98234410000001, -70.8238874)"
C00577130,P60007168,"Sanders, Bernard",BETHLEHEM,NH,035745851,50,26-SEP-15,"(44.2782061, -71.6622795)"
C00577130,P60007168,"Sanders, Bernard",TILTON,NH,032765817,15,15-JUL-15,"(43.4294845, -71.5842643)"
C00577130,P60007168,"Sanders, Bernard",AMHERST,NH,030312020,5,21-AUG-15,"(42.8708242, -71.6080009)"
C00577130,P60007168,"Sanders, Bernard",WINDHAM,NH,030871398,1000,02-AUG-15,"(42.792901, -71.3111773)"
C00577130,P60007168,"Sanders, Bernard",ANDOVER,NH,032160450,250,26-AUG-15,"(43.4461125, -71.7978333)"
C00458844,P60006723,"Rubio, Marco",LANGDON,NH,036028717,10,16-JUL-15,"(43.1069016, -72.3074326)"
C00458844,P60006723,"Rubio, Marco",LANGDON,NH,036028717,10,16-AUG-15,"(43.1069016, -72.3074326)"
C00458844,P60006723,"Rubio, Marco",LANGDON,NH,036028717,15,14-SEP-15,"(43.1069016, -72.3074326)"
C00458844,P60006723,"Rubio, Marco",LANGDON,NH,036028717,10,16-SEP-15,"(43.1069016, -72.3074326)"
C00458844,P60006723,"Rubio, Marco",LANGDON,NH,036028717,11,30-SEP-15,"(43.1069016, -72.3074326)"
C00577130,P60007168,"Sanders, Bernard",TAMWORTH,NH,038865208,100,02-SEP-15,"(43.86513780000001, -71.2820124)"
C00577130,P60007168,"Sanders, Bernard",HANOVER,NH,037551236,73,01-SEP-15,"(43.7260338, -72.14291720000001)"
C00577130,P60007168,"Sanders, Bernard",PORTSMOUTH,NH,038014613,1000,30-SEP-15,"(43.0874906, -70.83577919999999)"
C00577130,P60007168,"Sanders, Bernard",HANOVER,NH,037554915,500,04-AUG-15,"(43.7260338, -72.14291720000001)"
C00577130,P60007168,"Sanders, Bernard",RAYMOND,NH,030772024,106.25,02-SEP-15,"(43.028854, -71.20426189999999)"
C00577130,P60007168,"Sanders, Bernard",CONCORD,NH,033016906,50,01-SEP-15,"(43.2086343, -71.5486562)"
C00577130,P60007168,"Sanders, Bernard",NASHUA,NH,030604506,10,28-AUG-15,"(42.7470311, -71.4596201)"
C00577130,P60007168,"Sanders, Bernard",NASHUA,NH,030604506,10,30-AUG-15,"(42.7470311, -71.4596201)"
C00577130,P60007168,"Sanders, Bernard",NASHUA,NH,030604506,24.34,30-AUG-15,"(42.7470311, -71.4596201)"
C00577130,P60007168,"Sanders, Bernard",KENSINGTON,NH,038335603,1000,02-AUG-15,"(42.9996568, -70.9784562)"
C00577130,P60007168,"Sanders, Bernard",FARMINGTON,NH,038353921,5,20-AUG-15,"(43.3526526, -71.0735476)"
C00577130,P60007168,"Sanders, Bernard",MILTON,NH,038514716,500,20-JUL-15,"(43.4440953, -71.00919979999999)"
C00577130,P60007168,"Sanders, Bernard",DOVER,NH,038204179,53.36,20-JUL-15,"(43.1819713, -70.89523369999999)"
C00577130,P60007168,"Sanders, Bernard",HANOVER,NH,037551236,73,02-SEP-15,"(43.7260338, -72.14291720000001)"
C00577130,P60007168,"Sanders, Bernard",DURHAM,NH,038244205,10,02-AUG-15,"(43.13396789999999, -70.9264635)"
C00577130,P60007168,"Sanders, Bernard",MELVIN VILLAGE,NH,038500366,500,20-AUG-15,"(43.6860602, -71.29824390000002)"
C00577130,P60007168,"Sanders, Bernard",WILTON,NH,030865937,100,30-JUL-15,"(42.8341319, -71.785972)"
C00577130,P60007168,"Sanders, Bernard",RYE,NH,038702640,100,31-AUG-15,"(42.9928394, -70.7763169)"
C00577130,P60007168,"Sanders, Bernard",EXETER,NH,038334602,100,01-AUG-15,"(42.9996568, -70.9784562)"
C00577130,P60007168,"Sanders, Bernard",BOW,NH,033044112,100,28-JUL-15,"(43.13366329999999, -71.5486562)"
C00577130,P60007168,"Sanders, Bernard",ORFORD,NH,037774208,1000,07-AUG-15,"(43.8929281, -72.0745587)"
C00577130,P60007168,"Sanders, Bernard",CANAAN,NH,037417460,25,31-AUG-15,"(43.6795434, -72.0285561)"
C00577130,P60007168,"Sanders, Bernard",PETERBOROUGH,NH,03458,100,28-JUL-15,"(42.8573814, -71.9282781)"
C00577130,P60007168,"Sanders, Bernard",MERRIMACK,NH,030543230,100,24-JUL-15,"(42.855038, -71.51304449999999)"
C00577130,P60007168,"Sanders, Bernard",MANCHESTER,NH,031044938,50,30-SEP-15,"(43.00885590000001, -71.4477469)"
C00577130,P60007168,"Sanders, Bernard",KEENE,NH,034310133,54.54,27-AUG-15,"(42.9561414, -72.3074326)"
C00577130,P60007168,"Sanders, Bernard",BOW,NH,033044314,250,29-JUL-15,"(43.13366329999999, -71.5486562)"
C00577130,P60007168,"Sanders, Bernard",ANDOVER,NH,032164003,25,14-AUG-15,"(43.4461125, -71.7978333)"
